Date,Temperature,Ind,Id
2014-01-12 12:30:00,7.225,X1,554
2014-01-12 13:00:00,6.67,X1,555
2014-01-12 13:30:00,6.39,X1,556
2014-01-12 14:00:00,6.11,X1,557
2014-01-12 14:30:00,6.39,X1,558
2014-01-12 15:00:00,6.67,X1,559
2014-01-12 15:30:00,6.39,X1,560
2014-01-12 16:00:00,6.11,X1,561
2014-01-12 16:30:00,6.11,X1,562
2014-01-12 17:00:00,6.11,X1,563
2014-01-12 17:30:00,6.39,X1,564
2014-01-12 18:00:00,6.67,X1,565
2014-01-12 18:30:00,6.945,X1,566
2014-01-12 19:00:00,7.22,X1,567
2014-01-12 19:30:00,7.5,X1,568
2014-01-12 20:00:00,7.78,X1,569
2014-01-12 20:30:00,8.055,X1,570
2014-01-12 21:00:00,8.33,X1,571
2014-01-12 21:30:00,8.61,X1,572
2014-01-12 22:00:00,8.89,X1,573
2014-01-12 22:30:00,8.89,X1,574
2014-01-12 23:00:00,8.89,X1,575
2014-01-12 23:30:00,9.445,X1,576
2014-01-13 00:00:00,10,X1,577
2014-01-13 00:30:00,9.445,X1,578
2014-01-13 01:00:00,8.89,X1,579
2014-01-13 01:30:00,8.055,X1,580
2014-01-13 02:00:00,7.22,X1,581
2014-01-13 02:30:00,6.945,X1,582
2014-01-13 03:00:00,6.67,X1,583
2014-01-13 03:30:00,6.67,X1,584
2014-01-13 04:00:00,6.67,X1,585
2014-01-13 04:30:00,6.39,X1,586
2014-01-13 05:00:00,6.11,X1,587
2014-01-13 05:30:00,6.39,X1,588
2014-01-13 06:00:00,6.67,X1,589
2014-01-13 06:30:00,6.115,X1,590
2014-01-13 07:00:00,5.56,X1,591
2014-01-13 07:30:00,5.56,X1,592
2014-01-13 08:00:00,5.56,X1,593
2014-01-13 08:30:00,6.115,X1,594
2014-01-13 09:00:00,6.67,X1,595
2014-01-13 09:30:00,6.945,X1,596
2014-01-13 10:00:00,7.22,X1,597
2014-01-13 10:30:00,8.055,X1,598
2014-01-13 11:00:00,8.89,X1,599
2014-01-13 11:30:00,9.165,X1,600
2014-01-13 12:00:00,9.44,X1,601
2014-01-13 12:30:00,9.44,X1,602
2014-01-13 13:00:00,9.44,X1,603
2014-01-13 13:30:00,9.44,X1,604
2014-01-13 14:00:00,9.44,X1,605
2014-01-13 14:30:00,9.44,X1,606
2014-01-13 15:00:00,9.44,X1,607
2014-01-13 15:30:00,8.885,X1,608
2014-01-13 16:00:00,8.33,X1,609
2014-01-13 16:30:00,8.33,X1,610
2014-01-13 17:00:00,8.33,X1,611
2014-01-13 17:30:00,7.22,X1,612
2014-01-13 18:00:00,6.11,X1,613
2014-01-13 18:30:00,6.11,X1,614
2014-01-13 19:00:00,6.11,X1,615
2014-01-13 19:30:00,6.665,X1,616
2014-01-13 20:00:00,7.22,X1,617
2014-01-13 20:30:00,6.945,X1,618
2014-01-13 21:00:00,6.67,X1,619
2014-01-13 21:30:00,6.67,X1,620
2014-01-13 22:00:00,6.67,X1,621
2014-01-13 22:30:00,6.67,X1,622
2014-01-13 23:00:00,6.67,X1,623
2014-01-13 23:30:00,6.67,X1,624
2014-01-14 00:00:00,6.67,X1,625
2014-01-14 00:30:00,6.39,X1,626
2014-01-14 01:00:00,6.11,X1,627
2014-01-14 01:30:00,6.11,X1,628
2014-01-14 02:00:00,6.11,X1,629
2014-01-14 02:30:00,5.835,X1,630
2014-01-14 03:00:00,5.56,X1,631
2014-01-14 03:30:00,5,X1,632
2014-01-14 04:00:00,4.44,X1,633
2014-01-14 04:30:00,3.885,X1,634
2014-01-14 05:00:00,3.33,X1,635
2014-01-14 05:30:00,3.055,X1,636
